都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典,入院患者フェーズ,入院患者病床使用率,入院患者即応病床数,重症者フェーズ,重症患者病床使用率,重症患者即応病床数,宿泊療養フェーズ,宿泊療養施設居室使用率,宿泊療養施設施設居室,入院患者受入即応病床数,入院率,重症患者受入即応病床数,宿泊施設受入即応室数,うち社会福祉施設等療養者数,療養先調整中の人数,うち入院先調整中の人数,入院者数（確保病床）,入院者数（臨時）,入院患者受入確保病床（臨時）,うち重症者数（確保病床）,うち重症者数（臨時確保病床）,うち重症患者受入確保病床数（臨時）,うち宿泊療養者数（臨時）,うち宿泊施設受入可能室数（臨時）,臨時施設療養者数,臨時施設フェーズ,臨時施設即応定員数,臨時施設確保定員数,臨時施設確保定員使用率
01,北海道,515,193,1994,,10,143,,83,2370,220,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,10%,,３／３,7%,,２／２,4%,,1994,37%,143,2370,0,19,0,,,,,,,,,,,,,
02,青森県,275,76,337,,6,31,,55,470,69,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,23%,,４／４,19%,,４／４,12%,,337,50%,31,470,21,14,0,,,,,,,,,,,,,
03,岩手県,12,10,350,,0,45,,2,511,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／３,3%,,２／３,0%,,２／３,0%,,250,83%,30,247,0,0,0,,,,,,,,,,,,,
04,宮城県,202,62,498,,3,54,,93,1250,40,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,５／５,12%,,５／５,6%,,５／５,7%,,498,31%,54,1250,0,7,0,,,,,,,,,,,,,
05,秋田県,33,9,273,,1,22,,21,304,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,６／６,3%,,６／６,5%,,６／６,7%,,273,27%,22,304,0,3,0,,,,,,,,,,,,,
06,山形県,50,26,237,,0,26,,4,134,12,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,11%,,４／４,0%,,４／４,3%,,237,66%,26,134,0,1,0,,,,,,,,,,,,,
07,福島県,61,43,637,,4,49,,11,503,6,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,7%,,４／４,8%,,４／４,2%,,637,70%,45,503,6,1,0,,,,,,,,,,,,,
08,茨城県,353,125,791,,13,70,,85,1170,143,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,16%,,４／４,19%,,６／８,7%,,600,35%,70,1020,0,0,0,,,,,,,,,,,,,
09,栃木県,278,92,502,,8,46,,98,725,72,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／３,18%,,２／３,17%,,２／３,14%,,417,33%,27,665,0,16,0,,,,,,,,,,,,,
10,群馬県,215,95,506,,12,76,,80,1747,22,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／４,19%,,３／４,16%,,３／４,5%,,450,47%,27,854,0,12,0,,,,,,,,,,,,,
11,埼玉県,2350,533,1889,,59,236,,263,2523,1300,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,28%,,４／４,25%,,４／４,10%,,1889,23%,236,1925,0,254,0,,,,,,,,,,,,,
12,千葉県,1310,376,1504,,49,154,,149,1390,712,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,25%,,３／３,32%,,３／３,11%,,1476,29%,148,1390,0,73,1,,,,,,,,,,,,,
13,東京都,3532,1163,6651,,385,1207,,486,3310,1374,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,17%,,４／４,32%,,４／４,15%,,6651,33%,1207,3310,12,491,13,,,,,,,,,,,,,
14,神奈川県,1702,607,2000,,82,210,,107,2428,981,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,30%,,４／４,39%,,１／１,4%,,2000,36%,210,2428,2,7,0,,,,,,,,,,,,,
15,新潟県,217,107,555,,2,112,,21,300,85,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／３,19%,,２／３,2%,,２／３,7%,,555,49%,112,300,0,4,4,,,,,,,,,,,,,
16,富山県,46,31,500,,3,36,,11,500,4,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／４,6%,,２／４,8%,,２／４,2%,,206,67%,14,500,0,0,0,,,,,,,,,,,,,
17,石川県,100,54,447,,2,39,,19,560,23,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／３,12%,,２／３,5%,,２／３,3%,,250,54%,33,560,0,4,0,,,,,,,,,,,,,
18,福井県,86,77,424,,1,24,,9,216,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,５／５,18%,,５／５,4%,,５／５,4%,,344,90%,24,216,0,0,0,,,,,,,,,,,,,
19,山梨県,118,68,367,,0,24,,50,806,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,19%,,４／４,0%,,４／４,6%,,367,58%,24,806,0,0,0,,,,,,,,,,,,,
20,長野県,102,56,529,,1,43,,29,806,17,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／３,11%,,２／３,2%,,２／３,4%,,353,55%,34,806,1,0,0,,,,,,,,,,,,,
21,岐阜県,352,127,859,,6,59,,159,1480,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／３,15%,,２／３,10%,,２／３,11%,,563,36%,56,1296,0,66,0,,,,,,,,,,,,,
22,静岡県,330,73,766,,7,62,,71,870,160,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／５,10%,,４／５,11%,,４／５,8%,,766,22%,62,870,0,26,0,,,,,,,,,,,,,
23,愛知県,2870,452,1722,,44,183,,225,1691,2039,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,26%,,４／４,24%,,４／４,13%,,1722,16%,183,1628,31,142,3,,,,,,,,,,,,,
24,三重県,274,94,521,,4,61,,13,259,167,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,18%,,３／３,7%,,３／３,5%,,507,34%,55,259,0,0,0,,,,,,,,,,,,,
25,滋賀県,209,104,438,,1,52,,60,677,40,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,24%,,４／４,2%,,４／４,9%,,423,50%,52,677,0,5,0,,,,,,,,,,,,,
26,京都府,1563,161,738,,22,161,,137,1126,1263,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,22%,,３／３,14%,,３／３,12%,,708,10%,161,1126,0,2,2,,,,,,,,,,,,,
27,大阪府,4150,731,3408,,274,1284,,795,8408,2347,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,５／５,21%,,４／５,21%,,６／６,9%,,3245,18%,1122,8408,0,277,0,,,,,,,,,,,,,
28,兵庫県,1445,390,1357,,31,142,,321,2011,651,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,６／６,29%,,６／６,22%,,６／６,16%,,1357,27%,142,2011,0,83,53,,,,,,,,,,,,,
29,奈良県,274,131,468,,7,34,,76,948,14,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,28%,,３／３,21%,,３／３,8%,,468,48%,34,948,14,53,0,,,,,,,,,,,,,
30,和歌山県,59,59,589,,1,26,,0,288,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,10%,,３／３,4%,,３／３,0%,,589,100%,26,151,0,0,0,,,,,,,,,,,,,
31,鳥取県,19,19,337,,0,47,,0,364,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,6%,,２／３,0%,,１／１,0%,,301,100%,44,364,0,0,0,,,,,,,,,,,,,
32,島根県,61,53,324,,0,25,,0,133,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／５,16%,,３／５,0%,,３／５,0%,,276,87%,5,133,0,8,8,,,,,,,,,,,,,
33,岡山県,106,38,557,,3,68,,42,507,25,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,7%,,４／４,4%,,４／４,8%,,557,36%,68,507,0,1,1,,,,,,,,,,,,,
34,広島県,324,81,872,,6,69,,138,2397,88,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,５／５,9%,,５／５,9%,,５／５,6%,,814,27%,63,1597,0,9,0,,,,,,,,,,,,,
35,山口県,84,61,533,,0,47,,15,583,6,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,11%,,４／４,0%,,４／４,3%,,533,73%,47,583,0,2,2,,,,,,,,,,,,,
36,徳島県,61,43,234,,2,25,,10,400,8,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／４,18%,,３／４,8%,,３／４,3%,,234,70%,25,400,0,0,0,,,,,,,,,,,,,
37,香川県,47,27,238,,2,30,,6,368,9,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,11%,,３／３,7%,,３／３,2%,,238,57%,30,368,0,5,0,,,,,,,,,,,,,
38,愛媛県,111,37,278,,3,26,,21,263,53,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,13%,,３／３,12%,,３／３,8%,,278,33%,26,263,0,0,0,,,,,,,,,,,,,
39,高知県,53,12,236,,1,58,,31,268,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,５／５,5%,,５／５,2%,,５／５,12%,,234,23%,24,228,0,10,3,,,,,,,,,,,,,
40,福岡県,2905,305,1480,,23,203,,161,2106,1969,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,５／５,21%,,５／５,11%,,５／５,8%,,1480,12%,203,2106,0,433,0,,,,,,,,,,,,,
41,佐賀県,67,27,434,,1,48,,40,495,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,１／５,6%,,１／５,2%,,１／４,8%,,229,40%,8,495,0,0,0,,,,,,,,,,,,,
42,長崎県,88,38,440,,1,38,,21,535,25,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／４,9%,,３／４,3%,,３／４,4%,,248,43%,21,513,0,4,0,,,,,,,,,,,,,
43,熊本県,193,77,758,,6,71,,30,789,77,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／２,10%,,２／２,8%,,２／２,4%,,758,40%,71,789,0,9,8,,,,,,,,,,,,,
44,大分県,151,77,469,,3,43,,52,1249,11,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,２／４,16%,,２／４,7%,,２／４,4%,,469,51%,43,1019,0,11,0,,,,,,,,,,,,,
45,宮崎県,60,21,332,,4,33,,6,450,29,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,３／３,6%,,３／３,12%,,３／３,1%,,327,35%,33,450,0,4,1,,,,,,,,,,,,,
46,鹿児島県,67,42,475,,2,34,,12,1261,0,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,４／４,9%,,４／４,6%,,４／４,1%,,475,81%,34,1261,0,1,0,,,,,,,,,,,,,
47,沖縄県,1109,223,843,,44,140,,177,1412,452,,,2021-09-29,https://www.mhlw.go.jp/content/10900000/000838782.xlsx,５／５,26%,,５／５,31%,,５／５,13%,,482,20%,140,722,0,257,0,,,,,,,,,,,,,
01,北海道,273,106,2001,,3,137,,36,2370,130,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,5%,,２／３,2%,,２／２,2%,,1584,39%,103,2370,0,1,0,,,,,,,,,,,,,
02,青森県,142,29,337,,4,31,,40,470,29,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／４,9%,,２／４,13%,,４／４,9%,,327,49%,31,470,0,4,0,,,,,,,,,,,,,
03,岩手県,10,9,350,,0,45,,1,511,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,3%,,２／３,0%,,２／３,0%,,250,90%,30,247,0,0,0,,,,,,,,,,,,,
04,宮城県,87,37,498,,3,54,,33,1710,15,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,５／５,7%,,５／５,6%,,５／５,2%,,498,43%,54,1710,0,2,0,,,,,,,,,,,,,
05,秋田県,34,7,273,,1,22,,26,304,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,５／６,3%,,５／６,5%,,５／６,9%,,227,21%,15,304,0,1,1,,,,,,,,,,,,,
06,山形県,16,8,237,,0,26,,0,134,5,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／４,3%,,３／４,0%,,３／４,0%,,237,63%,26,134,0,1,0,,,,,,,,,,,,,
07,福島県,37,31,637,,4,49,,6,503,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／４,5%,,４／４,8%,,４／４,1%,,637,84%,45,503,0,0,0,,,,,,,,,,,,,
08,茨城県,192,66,600,,9,70,,58,1170,68,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／４,11%,,３／４,13%,,６／８,5%,,410,34%,50,1020,0,0,0,,,,,,,,,,,,,
09,栃木県,167,70,502,,4,46,,51,725,46,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,14%,,２／３,9%,,２／３,7%,,417,42%,27,665,1,0,0,,,,,,,,,,,,,
10,群馬県,126,57,508,,9,76,,39,1747,12,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／４,11%,,３／４,12%,,２／６,2%,,452,52%,27,369,0,9,0,,,,,,,,,,,,,
11,埼玉県,1148,348,1774,,41,183,,199,1986,511,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／４,20%,,４／４,22%,,４／４,10%,,1774,30%,183,1925,0,90,0,,,,,,,,,,,,,
12,千葉県,657,231,1386,,44,113,,91,1390,298,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／３,17%,,３／３,39%,,３／３,7%,,1386,35%,113,1390,0,37,0,,,,,,,,,,,,,
13,東京都,1993,733,6651,,262,1207,,248,3310,648,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／４,11%,,４／４,22%,,４／４,7%,,6651,38%,1207,3310,6,346,10,,,,,,,,,,,,,
14,神奈川県,900,337,2000,,51,210,,77,2428,483,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／４,17%,,２／４,24%,,１／１,3%,,1778,37%,184,2302,1,3,0,,,,,,,,,,,,,
15,新潟県,171,71,555,,3,112,,16,300,83,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,13%,,２／３,3%,,２／３,5%,,555,42%,112,300,0,1,1,,,,,,,,,,,,,
16,富山県,28,18,500,,1,36,,3,500,7,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,１／４,4%,,１／４,3%,,１／４,1%,,83,64%,12,500,0,0,0,,,,,,,,,,,,,
17,石川県,95,53,303,,1,37,,16,560,19,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,17%,,２／３,3%,,２／３,3%,,250,63%,33,560,0,0,0,,,,,,,,,,,,,
18,福井県,39,36,424,,1,24,,3,216,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／５,8%,,３／５,4%,,５／５,1%,,211,92%,20,216,0,0,0,,,,,,,,,,,,,
19,山梨県,34,17,367,,0,24,,17,966,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／４,5%,,３／４,0%,,３／４,2%,,210,50%,19,966,0,0,0,,,,,,,,,,,,,
20,長野県,60,28,529,,1,43,,16,806,14,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,5%,,２／３,2%,,２／３,2%,,353,47%,34,806,1,2,0,,,,,,,,,,,,,
21,岐阜県,241,89,859,,3,59,,122,1619,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,10%,,２／３,5%,,２／３,8%,,424,37%,55,1016,0,30,0,,,,,,,,,,,,,
22,静岡県,116,35,783,,2,63,,24,870,55,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／５,4%,,４／５,3%,,４／５,3%,,766,30%,62,870,0,2,0,,,,,,,,,,,,,
23,愛知県,1080,239,1722,,23,183,,133,1691,638,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／４,14%,,４／４,13%,,４／４,8%,,1722,23%,183,1628,3,64,2,,,,,,,,,,,,,
24,三重県,129,46,462,,2,51,,3,259,80,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／３,10%,,３／３,4%,,３／３,1%,,462,36%,51,259,0,0,0,,,,,,,,,,,,,
25,滋賀県,150,86,438,,1,52,,37,677,24,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／４,20%,,４／４,2%,,４／４,5%,,423,57%,52,677,0,3,0,,,,,,,,,,,,,
26,京都府,617,87,738,,14,161,,91,1126,439,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／３,12%,,３／３,9%,,３／３,8%,,708,14%,161,1126,0,0,0,,,,,,,,,,,,,
27,大阪府,2704,602,3421,,190,1296,,473,8408,1504,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／５,18%,,３／５,15%,,４／６,6%,,2959,22%,1056,6602,0,125,0,,,,,,,,,,,,,
28,兵庫県,791,244,1357,,26,142,,157,2011,347,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,６／６,18%,,６／６,18%,,６／６,8%,,1357,31%,142,2011,0,43,23,,,,,,,,,,,,,
29,奈良県,134,64,469,,5,34,,38,948,2,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,14%,,２／３,15%,,２／３,4%,,441,48%,34,948,2,30,0,,,,,,,,,,,,,
30,和歌山県,46,46,581,,1,26,,0,288,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／３,8%,,３／３,4%,,３／３,0%,,581,100%,26,151,0,0,0,,,,,,,,,,,,,
31,鳥取県,16,14,337,,0,47,,0,364,2,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／３,4%,,２／３,0%,,１／１,0%,,301,88%,44,277,0,0,0,,,,,,,,,,,,,
32,島根県,40,34,324,,0,25,,0,133,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／５,10%,,３／５,0%,,３／５,0%,,221,85%,5,133,0,6,6,,,,,,,,,,,,,
33,岡山県,81,28,557,,1,68,,25,507,26,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／４,5%,,３／４,1%,,３／４,5%,,435,35%,49,507,0,2,0,,,,,,,,,,,,,
34,広島県,219,55,877,,4,69,,86,2397,68,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／５,6%,,３／５,6%,,３／５,4%,,558,27%,47,1597,0,5,0,,,,,,,,,,,,,
35,山口県,64,58,533,,0,47,,5,583,1,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／４,11%,,２／４,0%,,２／４,1%,,237,91%,10,483,0,0,0,,,,,,,,,,,,,
36,徳島県,38,30,234,,0,25,,4,400,4,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／４,13%,,３／４,0%,,３／４,1%,,234,79%,25,400,0,0,0,,,,,,,,,,,,,
37,香川県,22,17,238,,1,30,,3,368,1,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／３,7%,,２／３,3%,,２／３,1%,,180,77%,21,368,0,1,0,,,,,,,,,,,,,
38,愛媛県,100,29,244,,2,19,,23,263,48,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／３,12%,,３／３,11%,,３／３,9%,,244,29%,19,263,0,0,0,,,,,,,,,,,,,
39,高知県,25,13,238,,1,58,,10,268,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／５,5%,,３／５,2%,,３／５,4%,,167,52%,16,228,0,2,2,,,,,,,,,,,,,
40,福岡県,722,178,1482,,20,203,,92,2106,447,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／５,12%,,４／５,10%,,４／５,4%,,1336,25%,190,2000,0,0,0,,,,,,,,,,,,,
41,佐賀県,63,37,465,,1,48,,26,515,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,１／５,8%,,１／５,2%,,１／４,5%,,260,59%,8,515,0,0,0,,,,,,,,,,,,,
42,長崎県,70,25,440,,0,38,,31,535,9,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／４,6%,,２／４,0%,,２／４,6%,,115,36%,21,513,0,5,0,,,,,,,,,,,,,
43,熊本県,100,50,642,,5,56,,10,1000,36,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／２,8%,,２／２,9%,,２／２,1%,,642,50%,56,1000,0,4,3,,,,,,,,,,,,,
44,大分県,80,40,490,,1,43,,25,1249,5,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,２／４,8%,,２／４,2%,,２／４,2%,,490,50%,43,1019,0,10,0,,,,,,,,,,,,,
45,宮崎県,25,13,332,,0,33,,5,450,6,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／３,4%,,３／３,0%,,３／３,1%,,332,52%,33,450,0,1,0,,,,,,,,,,,,,
46,鹿児島県,35,29,475,,0,34,,4,1261,0,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,３／４,6%,,３／４,0%,,３／４,0%,,343,89%,12,1261,0,0,0,,,,,,,,,,,,,
47,沖縄県,721,99,541,,17,63,,113,722,279,,,2021-10-06,https://www.mhlw.go.jp/content/10900000/000841408.xlsx,４／５,18%,,４／５,27%,,４／５,16%,,383,14%,63,663,0,230,0,,,,,,,,,,,,,
01,北海道,183,49,2001,,0,137,,13,2370,106,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／３,2%,,２／３,0%,,２／２,1%,,1584,27%,103,2370,0,15,0,,,,,,,,,,,,,
02,青森県,127,16,337,,2,31,,13,470,30,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／４,5%,,２／４,6%,,４／４,3%,,327,43%,31,470,0,29,0,,,,,,,,,,,,,
03,岩手県,4,3,350,,0,45,,1,511,0,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／３,1%,,２／３,0%,,２／３,0%,,250,75%,30,247,0,0,0,,,,,,,,,,,,,
04,宮城県,34,19,498,,1,54,,9,1710,5,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,５／５,4%,,５／５,2%,,５／５,1%,,498,56%,54,1250,0,1,0,,,,,,,,,,,,,
05,秋田県,15,5,273,,0,22,,10,304,0,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,５／６,2%,,５／６,0%,,５／６,3%,,227,33%,22,304,0,0,0,,,,,,,,,,,,,
06,山形県,13,5,237,,0,26,,0,134,2,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,３／４,2%,,３／４,0%,,３／４,0%,,237,38%,26,134,0,6,0,,,,,,,,,,,,,
07,福島県,20,20,637,,2,49,,0,503,0,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,４／４,3%,,４／４,4%,,４／４,0%,,637,100%,45,503,0,0,0,,,,,,,,,,,,,
08,茨城県,116,40,600,,8,70,,35,1345,41,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,３／４,7%,,３／４,11%,,６／９,3%,,410,34%,50,1020,0,0,0,,,,,,,,,,,,,
09,栃木県,100,39,502,,3,46,,29,725,26,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,１／３,8%,,１／３,7%,,１／３,4%,,374,39%,27,665,0,6,0,,,,,,,,,,,,,
10,群馬県,73,22,509,,3,76,,32,1747,5,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,１／４,4%,,１／４,4%,,２／６,2%,,184,30%,15,369,0,14,0,,,,,,,,,,,,,
11,埼玉県,534,202,1774,,28,183,,100,1986,197,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,４／４,11%,,４／４,15%,,４／４,5%,,1774,38%,183,1925,0,35,0,,,,,,,,,,,,,
12,千葉県,363,157,1386,,26,113,,61,1390,137,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／３,11%,,２／３,23%,,２／３,4%,,1378,43%,113,1390,0,8,0,,,,,,,,,,,,,
13,東京都,1150,465,6651,,179,1207,,118,3310,343,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,１／３,7%,,１／３,15%,,４／４,4%,,6651,42%,1207,3310,0,209,8,,,,,,,,,,,,,
14,神奈川県,587,236,2000,,30,210,,39,2428,312,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／４,12%,,２／４,14%,,１／１,2%,,1713,40%,176,2302,0,0,0,,,,,,,,,,,,,
15,新潟県,75,34,555,,2,112,,9,300,32,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／３,6%,,２／３,2%,,２／３,3%,,555,45%,112,300,0,0,0,,,,,,,,,,,,,
16,富山県,36,22,500,,1,36,,7,625,7,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,１／４,4%,,１／４,3%,,１／４,1%,,83,61%,12,625,0,0,0,,,,,,,,,,,,,
17,石川県,39,19,303,,0,37,,7,560,4,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／３,6%,,２／３,0%,,２／３,1%,,250,59%,33,560,0,5,0,,,,,,,,,,,,,
18,福井県,24,21,424,,1,24,,3,316,0,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／５,5%,,２／５,4%,,２／５,1%,,141,88%,10,153,0,0,0,,,,,,,,,,,,,
19,山梨県,10,8,367,,0,24,,2,966,0,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,３／４,2%,,３／４,0%,,３／４,0%,,210,80%,19,966,0,0,0,,,,,,,,,,,,,
20,長野県,54,30,529,,0,43,,15,806,8,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,２／３,6%,,２／３,0%,,２／３,2%,,353,56%,34,806,0,1,0,,,,,,,,,,,,,
21,岐阜県,170,67,859,,3,59,,90,1619,0,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,１／３,8%,,１／３,5%,,１／３,6%,,359,39%,53,549,0,13,0,,,,,,,,,,,,,
22,静岡県,43,16,783,,1,63,,12,870,14,,,2021-10-13,https://www.mhlw.go.jp/content/10900000/000844091.xlsx,４／５,2%,,４／５,2%,,４／５,1%,,783,37%,63,870,0,1,0,,,,,,,,,,,,,
