行ID,施設名,郵便番号,住所,電話番号,ウェブサイトURL,初診の対応可能,再診の対応可能,対応診療科,担当医師名,対面診療が必要と判断した場合に連携する医療機関名（複数ある場合は複数、住所も併せて記載）,地方ID,地方,ID地方,都道府県ID,都道府県,ID都道府県,市区町村ID,市区町村,ID市区町村,二次医療圏ID,二次医療圏,ID二次医療圏
17,Do-Clinic整形・運動器リハビリテーション,060-0061,北海道札幌市中央区南1条西14丁目291?81ウィステリア南1条ビル３F,011-222-3334,https://do-clinic.jp,〇,〇,整形外科,道家孝幸,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
18,札幌厚生病院共済クリニック,060-0004,札幌市中央区北4条西1丁目共済ビル１階,011-232-6518,,×,〇,内科,藤永明,札幌厚生病院（札幌市中央区北3条東8丁目５）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
19,アイルこころクリニック,060-0061,札幌市中央区南1条西6丁目11札幌北辰ﾋﾞﾙ1F,011-218-5561,http://airu-mental.com/,×,〇,精神科・心療内科,本山修,ｽﾄﾚｽｹｱすすきのｸﾘﾆｯｸ（中央区南3条3丁目三信ﾋﾞﾙ4階）岩見沢こころｸﾘﾆｯｸ（岩見沢市2条東15丁目5-2ﾄﾞﾗｯｸﾞｾｲﾑｽ岩見沢店2F）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
20,かねし小児科,064-0823,札幌市中央区北3条西25丁目1-2,011-612-0345,,〇,〇,小児科,兼次邦男,札幌市立病院NTT東日本札幌病院北海道医療センターKKR札幌病院など,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
21,かんわ心療クリニック,060-0061,北海道札幌市中央区南1条西11丁目1番312号コンチネンタルＷＥＳＴ-Ｓビル4階,011-280-8222,https://www.kanwa-mc.com/,×,〇,心療内科精神科精神腫瘍科,稲川信,特になし,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
22,きゅうま内科循環器クリニック,060-0061,札幌市中央区南1条西14丁目291-81ウィステリア南1条ビル2,011-251-7000,https://kyuma-naika.jp/,×,〇,内科循環器内科,久馬理史,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
23,クリニック光のいずみ,064-0917,北海道札幌市中央区南十七条西十三丁目１?４８２F,０１１?５６１?5111,https://www.hikarinoizumi.org/,〇,〇,内科小児科心療内科,石川眞樹夫,約束連携機関なし。,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
24,クリニック・イン・ザ・モーニング,060-0004,北海道札幌市中央区北４条西１６丁目１?３栗林幌西ビル１F,011-611-2005,http://www.fortune-favoured.jp/site/,〇,〇,内科小児科,岡田純一,NTT東日本札幌病（札幌市中央区南1条西15丁目）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
25,医療法人倭会こころとそだちのクリニックむすびめ,060-0042,北海道札幌市中央区大通西6丁目10番地１１北都ビル7階,０１１?２３２?５５６４,http://www.minerva.gr.jp/musubime/index.html,×,〇,心療内科精神科,田中康雄,なし,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
26,さっぽろ駅前内科・内視鏡クリニック,060-0004,札幌市中央区北４条西3丁目札幌駅前合同ビル４階,011-200-2220,https://www.sapporo-ekimae-naika.jp/,〇,〇,内科消化器内科,近間威彦,JR札幌病院（札幌市中央区北３条東１丁目）札幌医科大学（北海道札幌市中央区南１条西１７丁目）手稲渓仁会病院（札幌市手稲区前田1条12丁目1番40号）NTT東日本札幌病院（北海道札幌市中央区南１条西１５丁目）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
27,さっぽろ山鼻内科・糖尿病クリニック,064-0917,北海道札幌市中央区南17条西17丁目3-1,011-521-8710,https://clinic.yamahana.jp/,×,〇,内科糖尿病内科,澤田享,医療法人社団土田病院（札幌市中央区南21条西9丁目2-11）NTT東日本札幌病院(札幌市中央区南1条西15丁目290）等,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
28,医療法人花音しんたに内科消化器内科,060-0042,北海道札幌市中央区大通西17丁目1-27札幌メディケアセンタービル桂和4階,011-643-0335,,×,〇,内科消化器内科,新谷直昭,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
29,ストレスケアすすきのクリニック,060-0063,札幌市中央区南3条西3丁目10三信ビル4階,011-200-6020,https://susukino.org/,×,〇,心療内科精神科,佐々木竜二ベネデック安理,アイルこころのクリニック（中央区南1条西6丁目11札幌北辰ビル1階）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
30,すみかわ皮膚科アレルギークリニック,060-0061,札幌市中央区南1条西14丁目291-81ウィステリア南1条ビル2F,011-280-1122,https://www.hokutoukai.com,×,〇,皮膚科アレルギー科,澄川靖之,なし,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
31,スワンアイクリニック,060-0042,北海道札幌市中央区大通西３丁目11番地北洋ビル1階,011-200-2121,http://www.swaneyeclinic.com/,×,〇,眼科,木村祐介,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
32,のだレディースクリニック,060-0011,札幌市中央区北11条西15丁目2-1サンエーアインビル2F,011-708-0550,https://noda-lc.com/,〇,〇,産科婦人科,野田雅也,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
33,はらだ腎泌尿器クリニック,060-0011,北海道札幌市中央区北11条西14丁目1?1ほくやくビル4Ｆ,011?738?6613,https://harajin.jp,×,〇,泌尿器科腎臓移植外科,原田浩,市立札幌病院,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
34,ファミリークリニックさっぽろ山鼻,064-0921,札幌市中央区南21条西9丁目2-15,011-211-0336,,〇,〇,内科小児科,松田諭,土田病院（札幌市中央区南21条西9丁目2-11）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
35,まるやま在宅クリニック,064-0820,北海道札幌市中央区大通西26丁目2－10－808,011-624-5026,https://maruyama.clinic,〇,〇,内科・緩和ケア内科,戸井博史,自院での対面での診療に移行する,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
36,メンタルクリニック札幌大通,060-0062,札幌市中央区南2条西4丁目11桂和MTビル3階,011-205-0757,https://mental-sapporo.com/,〇,〇,心療内科精神科,髙橋玲緒奈,市立札幌病院（北海道札幌市中央区北11条西13丁目）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
37,やまはな皮フ科クリニック,064-0915,北海道札幌市中央区南15条西14丁目1-22マックスバリュ南15条店２階,011-532-1158,現在変更作成中,〇,〇,皮膚科,萩原千也,札幌医科大学皮膚科(北海道札幌市中央区南1条西16丁目２９１番地),1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
38,やまはな野村内科クリニック,064-0915,北海道札幌市中央区南１５条西１４丁目１－２２マックスバリュ南１５条店２階,011-520-3360,http://www.dosanko-c.com/yamahana-nomuraclinic/,〇,〇,内科,野村嘉伸,札幌東徳洲会病院（札幌市東区北33条東14丁目3番1号）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
39,レジーナクリニック札幌院,060-0061,北海道札幌市中央区南一条西5-13-1太陽ビルアネックス６階,011-596-0956,https://reginaclinic.jp/,×,〇,美容皮膚科,竹田慎太郎,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
40,愛おおぐろ眼科,060-0042,札幌市中央区大通西17丁目1-27札幌メディケアセンタービル3階,011-642-1096,aiooguro-ganka.jp,×,〇,眼科,大黒幾代,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
41,医大前中川眼科,060-0042,札幌市中央区大通西16丁目1-30FUYONo.10ビル3階,011-616-2101,http://www.nakagawa-ganka.jp/,〇,〇,眼科,中川喬,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
42,医大前南4条内科,064-0804,北海道札幌市中央区南4条西15丁目1-32ほくやく南4条ビル3階,011-521-1159,http://idaimaes4-naika.com/,〇,〇,呼吸器内科アレルギー科,田中裕士,札幌医科大学附属病院（北海道札幌市中央区南一条西16-291）NTT東日本札幌病院（札幌市中央区南1条西15丁目）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
43,氏家記念こどもｸﾘﾆｯｸ,060-0041,北海道札幌市中央区大通東３丁目１番１号,011-281-2811,http://wwww.tortue-med.jp,〇,〇,診療内科小児科,氏家武ほか５古谷野伸,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
44,医療法人財団老蘇会静明館診療所,064-0914,北海道札幌市中央区南14条西18丁目5-33,011-215-5069,www.seimeikan.or.jp,〇,〇,内科,矢崎一雄大友宣他,-,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
45,若浜医院,064-0807,札幌市中央区南7条西17丁目1-5,011-561-6767,https://www.wakahama-clinic.jp/,×,〇,内科小児科,若浜理,市立札幌病院（札幌市中央区北11条西13丁目1-1）、愛育病院（札幌市中央区南4条西25丁目2-1）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
46,医療法人社団さっぽろ幌西クリニック,064-0809,札幌市中央区南９条西１５丁目３番３０号,011-551-3315,http://www.kousaiclinic.com/,×,〇,内科・神経内科整形外科内科,笠井武史笠井康弘笠井美智子,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
47,医療法人社団ちば内科・消化器内科,064-0921,北海道札幌市中央区南21条西11丁目2-3S21メディカルビル2F,011-520-8111,http://www.chiba-clinic.net/,×,〇,内科消化器内科,千葉篤,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
48,129-医療法人社団ルミネレディースクリニック,060-0061,札幌市中央区南1条西２丁目５番地南一条Kビル3F,011-200-7700,http://www.lumine-clinic.com/,×,〇,産婦人科,蛯名紀子,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
49,医療法人旭山内科クリニック,064-0808,札幌市中央区南8条西24丁目2－11旭山公園メディカル２F,011-552-3666,,〇,〇,内科,水谷匡宏,市立札幌病院（札幌市中央区北11条西13丁目）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
50,医療法人社団円山公園内科,064-0820,北海道札幌市中央区大通西28丁目3番22号,011-633-0123,http://www.manbow.co.jp,〇,〇,内科,薮中宗之,啓明クリニック（北海道札幌市中央区南13条西22丁目2-3）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
51,医療法人社団円山公園内科啓明クリニック,064-0913,北海道札幌市中央区南13条西22丁目2番3号,011-530-5566,http://www.manbow.co.jp,〇,〇,内科,吉岡康介,円山公園内科（北海道札幌市中央区大通西28丁目3番22号）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
52,岡本内科クリニック,060-0042,札幌市中央区大通西7丁目2番地アセットプランニング大通ビル３階,011-231-3378,,×,〇,内科,岡本敏哉,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
53,医療社団法人桑園むねやす眼科,060-0010,北海道札幌市中央区北10条西15丁目1-4ブランズ札幌桑園駅前イースト1階,011-618-5566,http://muneyasu.sakura.ne.jp/,〇,〇,眼科,竹田宗泰、田村唯,市立札幌病院（北海道札幌市中央区北11条西13丁目1-1）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
54,佐々木内科クリニック,060-0010,札幌市中央区北10条西20丁目1－5,011-631-4329,http://www.sasakinaika-clinic.com/,×,〇,内科,佐久間千尋,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
55,医療社団法人小泉皮膚科クリニック,064-0801,札幌市中央区南1条西27丁目1-41,011-632-8484,,×,〇,皮膚科,小泉洋子,市立札幌病院（札幌市中央区北11条西13丁目1-1）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
56,上出脳神経外科クリニック,060-0005,札幌市中央区北5条西2丁目JRタワーオフィスプラザさっぽろ8F,011-209-5232,https://www.pharmarise.jp,×,〇,脳神経外科,上出廷治,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
57,医療法人社団新井田医院,064-0915,札幌市中央区南15条西7丁目2-1,011-511-9009,,×,〇,内科人工透析内科,新井田洋路,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
58,医療法人社団大空会大道内科・呼吸器科クリニック,060-0003,札幌市中央区北3条4丁目1-1日本生命札幌ビル3F,011-233-8142,http://www.ohmichi.or.jp,×,〇,内科呼吸器科,大道光秀北田順也新沼ゆかり,特になし,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
59,医療法人社団竹田眼科,064-0809,北海道札幌市中央区南9条西21丁目5-20,011-513-1000,http://www.takedaganka.jp/,〇,〇,眼科,竹田眞純,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
60,平林メンタルクリニック,060-0051,札幌市中央区南1条東1丁目5番地大通バスセンタービル1号館3階,011-200-7630,,×,〇,精神科心療内科,平林良登,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
61,医療法人社団北海道健診センタークリニック,060-0033,札幌市中央区北3条東13丁目99-6,011-200-1558,http://www.hkcc.or.jp,×,〇,内科・診療内科,齋藤和雄近藤伸彦吉田望,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
62,クリニック１･９･８札幌,064-0919,北海道札幌市中央区南19条西8丁目2-38,011-512-1216,http://www.clinic198sapporo.or.jp/,×,〇,内科小児科,戸澤修平,札幌厚生病院（札幌市中央区北3条東8丁目5番地）JCHO北海道病院（札幌市豊平区中之島1条8丁目3-18）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
63,医療法人社団林レディースクリニック,060-0062,北海道札幌市中央区南２条西３丁目K23ビル３階,112063050,?http://www…,〇,〇,内科婦人科心療内科,林宏,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
64,医療法人社団廣仁会豊水総合メディカルクリニック,064-0807,北海道札幌市中央区南７条西２丁目１番４,011-520-2310,http://www.kojinkai.org/clinic/housui/,×,〇,内科皮膚科泌尿器科,藤咲淳西村正治飯塚一山崎秀博,自院にて診療を行います。,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
65,スリープクリニック札幌,060-0042,北海道札幌市中央区大通西15丁目1-10ＩＴＯメディカルビル札幌2階,011-632-4700,https://www.sleepmedicine-tokyo.com/,×,〇,精神科心療内科,遠藤拓郎,なし,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
66,医療法人社団ほっとステーション大通公園メンタルクリニック,060-0042,北海道札幌市中央区大通西5丁目8番地昭和ビル2階,011-233-5255,http://hotto-station.com/,×,〇,精神科心療内科,山田秀世長谷川直実土岐完池田いづみ,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
67,医療法人社団みやざき外科クリニック,060-0005,札幌市中央区北５条西２丁目オフィスプラザさっぽろ７階,011-209-5283,https://www.pharmarise.jp/miyazaki-surgery/,〇,〇,外科,宮﨑恭介,愛育病院（札幌市中央区南４条西25丁目2-1）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
68,道庁前眼科,060-0003,札幌市中央区北3条西４丁目日本生命札幌ビル３F道庁前眼科,011-251-7357,https://www.douchoumae-ganka.com,〇,〇,眼科,吉田篤,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
69,医療法人社団石史山会札幌スポーツクリニック,060-0041,札幌市中央区大通東4丁目1-19,011-281-8755,https://www.sapporo-sports-clinic.jp/,×,〇,内科整形外科心療内科,山村美雪,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
70,札幌皮膚科クリニック,060-0063,札幌市中央区南3条西2丁目1-1H&Bプラザビル5階,011-211-8807,http://www.kojinkai.org/clinic/sapporo/,×,〇,皮膚科,安部正敏,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
71,医療法人北仁会幹メンタルクリニック,064-0820,北海道札幌市中央区大通西20丁目２?２０EXCELS1ビル５階,011-622-2525,http://www.hokujin.or.jp/mikiclinic/,×,〇,精神科心療内科,齋藤利和池田官司,なし,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
72,円山公園メンタルクリニック,064-0820,北海道札幌市中央区大通西25丁目1-2ﾊｰﾄﾗﾝﾄﾞ円山ﾋﾞﾙ3F,011-623-1177,,×,〇,心療内科精神科,白木淳子菅原美帆,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
73,円山内科消化器クリニック,064-0821,札幌市中央区北1条西24丁目4-1東光ストア円山店5階,011-215-4137,https://www.maruyama-naika.jp/,×,〇,内科消化器科,羽廣敦也,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
74,加藤直子皮膚科スキンクリニック,060-0001,札幌市中央区北１条西７丁目４番パシフィックマークス札幌北１条６階,011-211-0997,http://www.web-clover.net/katonaokohihuka/,×,〇,皮膚科,加藤直子,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
75,宮の森ファミリークリニック,064-0825,北海道札幌市中央区北５条西２７丁目２－１,011-623-0023,http://www.miyacli28.com,×,〇,小児科,加藤幹子,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
76,桑園メンタルクリニック,060-0007,北海道札幌市中央区北7条西15丁目28-11,011-676-4007,－,×,〇,精神科心療内科,髙橋義人新屋美芳,－,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
77,桑園整形外科,060-0008,札幌市中央区北8条西16丁目28-30,011-633-363,http://www.dr-azuma.net/,×,〇,整形外科,東裕隆本間信吾,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
78,公益財団法人パブリックヘルスリサーチセンター付属健康増進センター札幌商工診療所,060-0061,札幌市中央区南1条西5丁目15-2,001-261-6211,https://www.phrf.jp,×,〇,婦人科,齊藤学,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
79,行啓通りかこクリニック,064-0914,札幌市中央区南14条西８丁目５,011-596-9500,www.kakoclinic.com/jp,〇,〇,内科,新井たかこ,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
80,佐野内科医院,064-0805,北海道札幌市中央区南５条西１５丁目１－６,011-561-0288,http://www.sano-naika-clinic.com,×,〇,内科消化器内科,佐野公昭,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
81,札幌こころの森クリニック,064-0807,札幌市中央区南7条西15丁目1-1クレド3階,011-552-0055,http://mentalforest-clinic.com/,×,〇,精神科心療内科,伊藤耕一,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
82,医療法人スパイン札幌スパインクリニック,060-0042,北海道札幌市中央区大通西17丁目1-27札幌メディケアセンタービル3階,011-623-5454,https://spineclinic.jp/,×,〇,整形外科,渡邊吾一,札幌スパインクリニック,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
